keys,zh_CN,en
"迎狐之仪。
供物入御供筒，不可手捧。
祭坛从底向上读。后放入者，在上。","迎狐之仪。
供物入御供筒，不可手捧。
祭坛从底向上读。后放入者，在上。","Rite of Welcoming the Fox.
Offerings go into the tube—do not carry them by hand.
Read the altar bottom to top: what is placed later goes above."
"铃声安魂，狐火收敛。
火石催行，狐火暴起。
无论安抚或催促，狐都必须到本社。","铃声安魂，狐火收敛。
火石催行，狐火暴起。
无论安抚或催促，狐都必须到本社。","The bell soothes the soul; foxfire gathers in.
The firestone urges on; foxfire flares up.
Whether soothed or driven, the fox must reach the main shrine."
"结局 A：长明
按任意键返回主菜单","结局 A：长明
按任意键返回主菜单","Ending A: Eternal Lamp
Press any key to return to the main menu"
"结局 B：回名
按任意键返回主菜单","结局 B：回名
按任意键返回主菜单","Ending B: Name Returned
Press any key to return to the main menu"
"参道断时，以杉木承之。
狐若不前，以铃安之。
火若不旺，以油续之。","参道断时，以杉木承之。
狐若不前，以铃安之。
火若不旺，以油续之。","When the approach breaks, support it with sugi wood.
If the fox won’t go on, calm it with the bell.
If the fire wanes, feed it with oil."
"山脚的小祠已经开门。门槛下积着一线雨水。
供桌擦过，木牌立好，御供筒放在老人手边。
今晚轮到你送狐上山。","山脚的小祠已经开门。门槛下积着一线雨水。
供桌擦过，木牌立好，御供筒放在老人手边。
今晚轮到你送狐上山。","The small shrine at the mountain’s foot is open. A thin line of rainwater pools beneath the threshold.
The offering table is wiped, the wooden placards set, and the offering tube placed by the elder’s hand.
Tonight it’s your turn to send the fox up the mountain."
"昨夜起，山脚的灯接连熄灭。雨停了，石灯还是湿的。
去邻村送药的人说，她顺着参道下山，走了一晚上，却还在原地打转","昨夜起，山脚的灯接连熄灭。雨停了，石灯还是湿的。
去邻村送药的人说，她顺着参道下山，走了一晚上，却还在原地打转","Since last night, the lamps at the mountain’s foot have gone out one after another. The rain has stopped, but the stone lanterns are still wet.
Someone who went to deliver medicine to the next village said she followed the approach down the mountain, walked all night—yet kept circling back to where she began."
"村里把这叫「狐火离位」。
若狐火不回本社，山路会鬼打墙，井水会发苦。
按旧规，山社要举行迎狐之仪，把白狐迎回山上的本社。","村里把这叫「狐火离位」。
若狐火不回本社，山路会鬼打墙，井水会发苦。
按旧规，山社要举行迎狐之仪，把白狐迎回山上的本社。","The village calls it “the foxfire leaving its post.”
If the foxfire doesn’t return to the main shrine, the mountain road will loop on itself, and the well water will turn bitter.
By the old rules, the mountain shrine must perform the Rite of Welcoming the Fox, to bring the white fox back to the main shrine on the mountain."
"你只记得那首童谣。
狐上山，不回头。若回头，莫唤名。
什么名字？名字像被水泡过的草纸，模糊了形状，念不出来。","你只记得那首童谣。
狐上山，不回头。若回头，莫唤名。
什么名字？名字像被水泡过的草纸，模糊了形状，念不出来。","You only remember the nursery rhyme.
The fox goes up the mountain, never looking back. If it looks back, do not call its name.
What name? Like paper soaked through, the shape is blurred—you can’t speak it."
"你是山社的见习巫女，雨宫铃音。你记得自己曾有一个姐姐，她才是山社真正的巫女。
但是你忘记了她的名字，你问过大人，他们却闭口不谈","你是山社的见习巫女，雨宫铃音。你记得自己曾有一个姐姐，她才是山社真正的巫女。
但是你忘记了她的名字，你问过大人，他们却闭口不谈","You are the mountain shrine’s apprentice miko, Amemiya Suzune. You remember you once had an older sister—she was the shrine’s true miko.
But you have forgotten her name. You asked the adults, and they shut their mouths tight."
"……送……本社……
……白……覆身……
……不得呼名……","……送……本社……
……白……覆身……
……不得呼名……","...Send...to the main shrine...
...White...over the body...
...Must not call the name..."
